"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HUR","TOT","PC_LF","M","1996-05",8.414208,
"AUS","HUR","TOT","PC_LF","M","1996-06",8.255383,
"AUS","HUR","TOT","PC_LF","M","1996-07",8.566893,
"AUS","HUR","TOT","PC_LF","M","1996-08",8.719606,
"AUS","HUR","TOT","PC_LF","M","1996-09",8.575645,
"AUS","HUR","TOT","PC_LF","M","1996-10",8.759434,
"AUS","HUR","TOT","PC_LF","M","1996-11",8.470287,
"AUS","HUR","TOT","PC_LF","M","1996-12",8.630735,
"AUS","HUR","TOT","PC_LF","M","1997-01",8.566445,
"AUS","HUR","TOT","PC_LF","M","1997-02",8.702632,
"AUS","HUR","TOT","PC_LF","M","1997-03",8.592196,
"AUS","HUR","TOT","PC_LF","M","1997-04",8.567886,
"AUS","HUR","TOT","PC_LF","M","1997-05",8.547388,
"AUS","HUR","TOT","PC_LF","M","1997-06",8.331704,
"AUS","HUR","TOT","PC_LF","M","1997-07",8.588817,
"AUS","HUR","TOT","PC_LF","M","1997-08",8.46505,
"AUS","HUR","TOT","PC_LF","M","1997-09",8.06741,
"AUS","HUR","TOT","PC_LF","M","1997-10",8.033036,
"AUS","HUR","TOT","PC_LF","M","1997-11",7.986465,
"AUS","HUR","TOT","PC_LF","M","1997-12",7.910471,
"AUS","HUR","TOT","PC_LF","M","1998-01",7.865205,
"AUS","HUR","TOT","PC_LF","M","1998-02",7.772387,
"AUS","HUR","TOT","PC_LF","M","1998-03",7.883351,
"AUS","HUR","TOT","PC_LF","M","1998-04",7.603425,
"AUS","HUR","TOT","PC_LF","M","1998-05",7.76478,
"AUS","HUR","TOT","PC_LF","M","1998-06",7.832695,
"AUS","HUR","TOT","PC_LF","M","1998-07",7.974342,
"AUS","HUR","TOT","PC_LF","M","1998-08",7.755295,
"AUS","HUR","TOT","PC_LF","M","1998-09",7.63351,
"AUS","HUR","TOT","PC_LF","M","1998-10",7.313494,
"AUS","HUR","TOT","PC_LF","M","1998-11",7.626954,
"AUS","HUR","TOT","PC_LF","M","1998-12",7.183587,
"AUS","HUR","TOT","PC_LF","M","1999-01",7.118927,
"AUS","HUR","TOT","PC_LF","M","1999-02",7.115084,
"AUS","HUR","TOT","PC_LF","M","1999-03",7.012671,
"AUS","HUR","TOT","PC_LF","M","1999-04",6.979358,
"AUS","HUR","TOT","PC_LF","M","1999-05",7.025078,
"AUS","HUR","TOT","PC_LF","M","1999-06",6.653621,
"AUS","HUR","TOT","PC_LF","M","1999-07",6.675147,
"AUS","HUR","TOT","PC_LF","M","1999-08",6.905853,
"AUS","HUR","TOT","PC_LF","M","1999-09",7.041421,
"AUS","HUR","TOT","PC_LF","M","1999-10",6.776222,
